"label","title","year","author","doi"
"retracted","Optical handwritten character recognition for Tamil language using CNN-VGG-16 model with RF classifier","2023","N Pughazendi;M HariKrishnan;Rashmita Khilar;L Sharmila","10.1007/s11082-023-05211-y"
"retracted","Monety brązowe w rzymskich prowincjach nad dolnym Dunajem w połowie III wieku. Studium obiegu [Bronze coins in the Roman provinces on the Lower Danube in the middle of the 3rd century. Studies on coin circulation]","2018","Jacek Rakoczy","unavailable"
"retracted","Efficacy of mirtazapine for appetite loss and nausea of the cancer patient--from clinical experience in Memorial Sloan-Kettering Cancer Center","2009","Yoshio Ito;Y Okubo;A Roth","unavailable"
"retracted","Polioencephalomalacia Secondary to Hypernatremia in Squirrel Monkeys (Saimiri sciureus)","2013","Sheila M Cummings Macri;Katherine Masek-Hammerman;Anne M Crowell;Melissa S Fenn;Susan V Westmoreland;Andrew D Miller","10.1177/0300985813498782"
"retracted","Median lethal concentration of two pesticides, diazinon and deltamethrin, on tra catfish Pangasius hypophthalmus (Siluroidei, Pangasiidae)","2013","Aliakbar Hedayati;Rezi Tarkhani;Ahmad Shadi;Toktam Bagheri;Mohammad Harsij;Mohsen Tajari","10.1177/0748233713475499"
"retracted","Water hyacinth: a possible alternative rate retarding natural polymer used in sustained release tablet design.","2014","Sabera Khatun;Kumar B Sutradhar","10.3389/fphar.2014.00137"
"retracted","Common Language Development in Multilingual Contexts: A Study of Russian Language Policy in the Early Years of the Soviet Union","2024","Jumabayi Ayixiren;Ronghui Zhao","10.1007/s10936-024-10053-0"
"retracted","A measure study on quality improvement of employment of college graduates","2010","Jian Li;Feng Xu;Xiuxi Wang;Fuhai Zhang","10.1109/OPEE.2010.5508047"
"retracted","Investigation of bionano additives in red algae Cyanidioschyzon merolae ultrasonified MgO/MWCNT catalyzed biodiesel in optimized engine performance","2024","Arivalagan Pugazhendhi;S K Kamarudin;Arunachalam Chinnathambi;Sulaiman Ali Alharbi;Ramya G","10.1016/j.envres.2024.119352"
"retracted","Processing of Advanced Materials for Next-Generation Electronics and Photonics - A Review","2024","Avdhesh Kumar Sharma;A Somaiah;Ali kareem;Vishal Sharma;Anandhi R J;Ashish Parmar","10.1051/e3sconf/202450501025"
"retracted","Design and Application of English Grammar Error Correction System Based on Deep Learning","2021","Chen Hongli","10.1155/2021/4920461"
"retracted","Assessment of Air Pollution in Voronezh by Means of Chemical Analysis of Snow Cover","2016","N G (Н Г) Mukhortov (Мухортов);Inessa Nikolaevna (Инесса Николаевна) Bolgova (Shelyakina) (Болгова (Шелякина))","Unavailable"
"retracted","Synthesis and Performance of Two New Amphiphilic Ionic Liquids for Demulsification of Water-in-Crude Oil Emulsions","2023","Mahmood M S Abdullah;Hamad A Al-lohedan;Noorah A Faqihi","10.1021/acsomega.3c03246"
"retracted","Herbal formula GAPT prevents beta amyloid deposition induced Ca 2+/Calmodulin-dependent protein kinase II and Ca 2+/Calmodulin-dependent protein phosphatase 2B imbalance in APPV717I mice","2016","Jing Shi;Xuekai Zhang;Long Yin;Mingqing Wei;Jingnian Ni;Ting Li;Pengwen Wang;Jinzhou Tian;Yongyan Wang","10.1186/s12906-016-1144-7"
"retracted","Optimal operation of the smart electrical network considering energy management of demand side","2025","Shavan Askar;Fatmazohra Saidoune;Dilsora Abduvalieva;G Ezhilarasan;Rishabh Thakur;Yashpal Yadav;Raj Kumar;Mohammed Hussen;Israa Abed Jawad;A M Ali","10.2516/stet/2024105"
"retracted","Review Algoritma C-Theta dan Prospek Implementasinya Di Masa Depan","2017","Nathanael Aldo Phillip","10.15408/jti.v10i2.6991"
"retracted","p53-induced Rap2B positively regulates migration in cells exposed to glucose deprivation","2015","Dong-Sheng Pei;Jie-Hui Di;Wen-Qi Du;Jun-Nian Zheng","10.1002/mc.22357"
"retracted","Features optimization selection in hidden layers of deep learning based on graph clustering","2023","Hefei Gao;Yifei Yuan;Wei Wang","10.1186/s13638-023-02292-x"
"retracted","Organization based on space syntax for shared parking in central business district","2010","Ou Xinquan;Xue Xingjian;Xie Hui","10.1109/ICCSIT.2010.5563844"
"retracted","Field-Induced Superconductivity in MoS2","2014","Yijin Zhang;Jianting Ye;M Yoshida;Yoshifumi Saito;Yoshihiro Iwasa","10.1007/s10948-013-2422-y"
"retracted","Dynamic 3-D Visualization System of Sea Flow Field Based on Virtual Reality Technology in the Environment of Internet of Things","2024","Rui Li","10.1520/JTE20230038"
"retracted","Coronary artery segmentation based on ACMA-Net and unscented Kalman filter algorithm","2024","Chuanqi Wen;Bao Li;Yang Yang;Yili Feng;Jincheng Liu;Liyuan Zhang;Yanping Zhang;Na Li;Jian Liu;Lihua Wang;Mingzi Zhang;Youjun Liu","10.1016/j.compbiomed.2024.108615"
"retracted","A stepwise-targeting strategy for the treatment of cerebral ischemic stroke","2021","Jingbo Hu;Xueying Tan;Dongwei Wang;Yixuan Li;Hongze Liang;Jiejun Peng;Fengyan Li;Quan Zhou;Peiwu Geng;Shuanghu Wang;Yue Yu;Jin Liu","10.1186/s12951-021-01118-6"
"retracted","Fabrication and electromagnetic characteristics of microwave absorbers containing Li0.35Zn0.3Fe2.35O4 micro-belts and nickel-coated carbon fibers","2013","Bin Zhao;Qilei Wang;Cunrui Zhang","10.1016/j.jmmm.2013.06.017"
"retracted","Analysis of low voltage reactor optimal deployment in 220kV regional grids","2011","Wei fang Zhai;Yong jun Zhang","10.1109/PEAM.2011.6134880"
"retracted","Varibaculum timonense sp. nov., a new bacterial species isolated from human stool sample","2019","Cheikh Ibrahima Lo;El Hadj Amadou Niang;Elodie Guilhot;Didier A Raoult;Pierre Édouard Fournier;Florence Fénollar","10.1016/j.nmni.2019.100575"
"retracted","Based on Virtual Reality Technology Research on Innovation and Design of Ceramic Painting Products","2022","Yong Jiang","10.1155/2022/4421769"
"retracted","Polymethyl Methacrylate-Based Smart Microfluidic Point-of-Care Testing of Prothrombin Time and International Normalized Ratio through Optical Detection","2022","Enas W. Abdulhay;Ruba E. Khnouf;Yahia M. Karain;Taqwa K. Al Omari;Nourshan M. Ebeid;Tamara H. Al Muhtaseb;N. Arunkumar;M. Thilagaraj;Gustavo Ramirez-Gonzalez","10.1155/2022/5975228"
"retracted","Novel dynamic fuzzy decision-making framework for COVID-19 vaccine dose recipients","2022","O S Albahri;A A Zaidan;A S Albahri;H A Alsattar;Rawia Mohammed;Uwe Aickelin;Gang Kou;F M Jumaah;Mahmood M Salih;A H Alamoodi;B B Zaidan;Mamoun Alazab;Alhamzah Alnoor;Jameel R Al-Obaidi","10.1016/j.jare.2021.08.009"
"retracted","Personal and professional mobility: the problem of conjugation","2015","Tamara Borisovna (Тамара Борисовна) Sergeeva (Сергеева)","10.17853/1994-5639-2015-8-81-96"
"retracted","Efficient object analysis by leveraging deeply-trained object proposals prediction model","2018","Bo Dai;Yiyang Yao;Wenjing Ye;Jing Zheng","10.1007/s11042-017-5390-6"
"retracted","Salvage Radiation Therapy Is Associated With Decreased Risk Of Metastases And Death From Prostate Cancer Among Patients With Biochemical Recurrence After Radical Prostatectomy","2014","Manuel Eisenberg;R Jeffrey Karnes;R Houston Thompson;Dharam Kaushik;Laureano Rangel;Eric Bergstralh;Stephen Boorjian","10.1016/j.juro.2014.02.2205"
"retracted","Nut consumption with risk of hypertension and type 2 diabetes mellitus: A meta-analysis of prospective cohort studies","2013","Kai Guo;Yibo Jiang;Zhiwen Zhou;Yigng Li","10.1177/2047487313501120"
"retracted","An MCDM approach on Einstein aggregation operators under Bipolar Linear Diophantine Fuzzy Hypersoft Set","2024","S Nithya Sri;J Vimala;Nasreen Kausar;Ebru Ozbilge;Emre Özbilge;Dragan Pamucar","10.1016/j.heliyon.2024.e29863"
"retracted","Systemic delivery of synthetic microRNA-451 is an effective therapeutic strategy for the treatment of lung cancer","2015","Baisong Lou;Xin Zhou","10.3892/ijmm.2015.2147"
"retracted","Computer multimedia aided design and hand-drawn effect analysis based on grid resource sharing cooperative algorithm","2024","Xiaohong Gu","10.3233/jifs-233701"
"retracted","Isolation, characterization, and effect of administration in vivo, a novel probiotic strain from pig feces","2013","Yasuhiro Ihara;Hideki Hyodo;Shin Sukegawa;Hiroshi Murakami;Fumiki Morimatsu","10.1111/asj.12020"
"retracted","k-Zumkeller graphs through mycielski transformation","2024","M Kalaimathi;B J Balamurugan;Atulya K Nagar","10.3233/jifs-231095"
"retracted","Marine ecological monitoring based on wireless sensor technology and the development of traditional music education","2021","Lin Li","10.1007/s12517-021-08209-6"
"retracted","Risks resulting from autonomous cooperation technologies in logistics","2010","Michael Hülsmann;Christoph Illigen;Benjamin Korsmeier;Philip Cordes","10.1109/ICAMS.2010.5553146"
"retracted","CD137 stimulation enhances the antilymphoma activity of anti-CD20 antibodies","2011","Holbrook E Kohrt;Roch Houot;Matthew J Goldstein;Kipp Weiskopf;Ash A Alizadeh;Josh Brody;Antonia Muller;Russell Pachynski;Debra Czerwinski;Steven Coutre;Mark P Chao;Lieping Chen;Thomas F Tedder;Ronald Levy","10.1182/blood-2010-08-301945"
"retracted","Efficiency evaluation of the high-tech industry chain with a two-stage data envelopment analysis approach","2022","Jing Feng;Longlong Geng;Hui Liu;Xuehua Zhang","10.1007/s12063-022-00280-w"
"retracted","A robust and high-fidelity aerodynamic optimization design of truss-braced-wing aircraft with gradient-based method","2019","Li Li;Junqiang Bai;Xiaolong He;Feng Qu;Yixiong Yang;Shiwei Ma;Yu Zhang","10.1016/j.ast.2019.105338"
"retracted","Design of manipulator based on two-dimensional force feedback","2020","Wei Liu;Fengpeng Li;Yidong Wan;Cheng Jing;Xingxing Wang;M Helali","10.1007/s11370-020-00321-y"
"retracted","High-performance computing system and artificial language recognition in the visual application of intangible cultural heritage art design","2021","Xiaodan Peng","10.1007/s00779-021-01619-z"
"retracted","Effects of tensile overload on fatigue crack growth in AM60 magnesium alloys","2022","Sina Abbaszadeh Hashemi;Khalil Farhangdoost;Wenchen Ma;Danial Ghahremani Moghadam;Reza Masoudi Nejad;Filippo Berto","10.1016/j.tafmec.2022.103573"
"retracted","Interval physical programming and its application to evaluation of soil state in shield tunneling","2013","Xu Zhang;Wei Sun;Junzhou Huo;Jingxiu Ling","10.1109/QR2MSE.2013.6625541"
"retracted","Anästhesie bei Rauchern [Anesthesia in Smokers]","2014","Michael Heck;Michael Fresenius;Cornelius J Busch","10.1007/978-3-642-36942-1_38"
"retracted","Sulphasalazine reduces indomethacin induced changes in small intestinal permeability in man","1990","Anjan K Banerjee;R Sherwood;J A Rennie;Tim J Peters","10.1136/gut.31.5.a589"
"retracted","Semantic-Based Classification of Long Texts on Higher Education in China","2021","Chun Li;Yanying Fei","10.1155/2021/9237713"
"retracted","Novel Cul/tributyl Phosphine Catalyst for Amination of Aryl Chlorides","2003","Nandkumar M Patil;Ashutosh A Kelkar;Zahid Nabi;Raghunath V Chaudhari","10.1039/B308034J"
"retracted","Multiobjective Differential Evolution Clustering Algorithm Based on Multimedia Information in Working Mechanism Innovation for Traditional Chinese Medicine","2022","Xiaoling Zhu;Hongsheng Cheng;Xu Zhang;Huaxu Zhu;Zhiguang Sun","10.1155/2022/4135439"
"retracted","The phenomenality of legal culture for Russian society","2015","Mikhail Valerievich (Михаил Валерьевич) Yakovlev (Яковлев)","Unavailable"
"retracted","Design of the power transformer winding hot spot temperature on-line detecting system","2011","Xiangzhong Qian;Shuai Mu;Deming Yu","10.1109/PEAM.2011.6134923"
"retracted","Isovitexin SuppreChangsses Cancer Stemness Property and Induces Apoptosis of Osteosarcoma Cells by Disruption of the DNMT1/miR-34a/Bcl-2 Axis","2019","Xiao Liang;Chang Xu;Xiaocheng Cao;Wanchun Wang","10.2147/CMAR.S222708"
"retracted","Automatic Intelligent Control System Based on Intelligent Control Algorithm","2022","Zishan Huang","10.1155/2022/3594256"
"retracted","Genetic characterization of selected species of family Solanaceae based on chloroplast rps14 gene","2024","Sitara Bibi;Javed Iqbal;Banzeer Ahsan Abbasi;Sobia Kanwal;Tariq Mahmood;Muhammad Waseem;Dunia A Al Farraj;Mohamed S Elshikh;Rashid Iqbal","10.1007/s10722-024-02248-0"
"retracted","Word collocation method based on ontological semantic index and spatiotemporal feature clustering analysis","2020","Ming Hao Xu;Xiaofeng Zhang;Biyuan Hu","10.1177/0020720919897557"
"retracted","Trade and foreign direct investment in coastal and inland China: A dynamic panel analysis","2011","Yang Guohui;Sun Xia","10.1109/ICEBEG.2011.5881445"
"retracted","'Allahu akbar' was never a call to violence and destruction","2015","Thomas M Rosica","unavailable"
"retracted","An improved loci method for outlier detection in fuzzy datasets based on fractional distance metric and outlierness degree","2024","Mehdi Hajiloei;Alireza Fakharzadeh Jahromi;Somayeh Zolmani","10.3233/jifs-234448"
"retracted","Change of water-physical properties of mountainous meadow-chernozem soils of the republic of Armenia under the influence of anthropogenic factor","2023","Samvel Kroyan;Suren Tovmasyan;Paruyr Efendyan;Anush Margaryan","10.1051/e3sconf/202342003003"
"retracted","Clinical Significance of Down-Regulated CD70 and CD27 Expression in Poor Prognosis of Esophageal Squamous Cell Carcinoma","2020","Ting-ting Shan;Xuan Zhao;Zhen Zhang;Jing-pu Wang;Yi Zhang;Yang Yang;Song Zhao","10.2147/CMAR.S241377"
"retracted","Screening of some algal species for adsorption of iron, copper and mercury from untreated textile effluent in Kano, Nigeria","2018","G Ado;L A Sani","10.4314/bajopas.v11i1.10"
"retracted","A 2-5GHz low jitter 0.13 µm CMOS PLL using a dynamic current matching charge-pump and a noise attenuating loop-filter [frequency synthesizer application]","2004","Adrian Maxim","10.1109/CICC.2004.1358760"
"retracted","Nanoindentation Characteristics of In-Situ Formed Cu–Hf–Ti–Ag–Ta Bulk Metallic Glass Composites","2005","Zan Bian;Hidemi Kato;Akihisa Inoue","10.2320/matertrans.46.798"
"retracted","Formation of Youth Communities in the Structure of a Safe Environment","2016","Elena Viktorovna (Елена Викторовна) Muravyova (Toguleva) (Муравьёва (Тогулева));Yulia Vladimirovna (Юлия Владимировна) Filina (Филина)","Unavailable"
"retracted_fuzzy","corynebacterium sp. nov., a new bacterial species isolated from human urine sample","2019","El Hadj Amadou Niang;Cheikh Ibrahima Lo;Aurelie Morand;Sokhna Ndongo;Didier A Raoult;Pierre Édouard Fournier;Florence Fénollar","10.1016/j.nmni.2019.100576"
"retracted_fuzzy","detection and analysis of man-machine interactive software vulnerabilities based on data acquisition and signal processing","2021","Lei Zhao","10.1155/2021/7684146"
"retracted_fuzzy","application of customer relationship management system in service stations","2018","Dmitry Alekseevich (ДМИТРИЙ АЛЕКСЕЕВИЧ) Shorokhov (ШОРОХОВ)","Unavailable"
"retracted_fuzzy","the antecedents of organizational cronyism","2009","Yan Yang;Bei Hu","10.1109/ICMSS.2009.5304810"
"retracted_fuzzy","the concentration and difference of shipbuilding industry in yangtze river economic belt","2021","Chen Li;Xiaoping Xu","10.1145/3465631.3465659"
"retracted_fuzzy","baicalin relieves hypoxia-aroused h9c2 cell apoptosis activating nrf2/ho-1-mediated hif1α/bnip3 pathway","2019","Hailiang Yu;Bin Chen;Qi Ren","10.1080/21691401.2019.1657879"
"retracted_fuzzy","study on the historical of urbanization and ecological environment coupling","2011","Xiao hong Chen;Wan he Lu;Xue lan Tan","10.1109/ICETCE.2011.5775822"
"retracted_fuzzy","creep deformation of zr55co25al15ni5 bulk metallic glass glass transition temperature: a study","2021","Agus Dwi Anggono;Marischa Elveny;Walid Kamal Abdelbasset;Aleksandr Mikhailovich Petrov;Kirill Aleksandrovich Ershov;Yu Zhu;Akhat Yunusov;Supat Chupradit;Yasser Fakri Mustafa;Aravindhan Surendar","10.1007/s12666-021-02455-8"
"retracted_fuzzy","processing, and mechanical properties of tic–465 stainless steel/465 stainless steel layer composites","2006","Farid Akhtar;S J Askari;J A Shah;Shiju Guo","10.1016/j.jallcom.2006.08.073"
"retracted_fuzzy","analysis of logistics port transportation efficiency evaluation on the block chain technology","2021","Xu Xu;Yanbin Yang","10.1007/s10479-021-04379-4"
"retracted_fuzzy","mdm2 directs the ubiquitination of β-arrestin-sequestered phosphodiesterase-4d5","2009","Xiang Li;George S Baillie;Miles D Houslay","10.1074/jbc.M109.008078"
"retracted_fuzzy","human induced pluripotent stem cell-derived platelets loaded with lapatinib effectively target her2+ breast cancer to the","2021","Arunoday Bhan;Khairul Ansari;Mike Y Chen;Rahul Jandial","10.1038/s41598-021-96351-2"
"retracted_fuzzy","joint contributions for force dissipation during landings in athletes with patellar","2020","Rodrigo Scattone Silva;Theresa H Nakagawa;Ana L Granado Ferreira;Fábio V Serrão","10.1016/j.ptsp.2020.04.011"
"retracted_fuzzy","a content recommendation system e-learning enhanced harris hawks optimization, cuckoo search and dssm","2023","N K Manikandan;M Kavitha","10.3233/jifs-213422"
"retracted_fuzzy","correlation meta-analysis of efficacy inhaled corticosteroids in children with asthma based on smart medical health","2022","Yu Qin;Jing Wang;Jingmin Qin;Ning Yang;Sha Li;Lijia Xu;Yanjun Han","10.1155/2022/6220774"
"retracted_fuzzy","application of big data and internet of in the of financial operating income of electric power enterprises","2022","Huiling Su","10.1155/2022/6167479"
"retracted_fuzzy","microrna‑454 inhibits cell lung cancer cells growth and metastasis via targeting signal transducer and activator of","2017","Shuliang Liu;Xingping Ge;Lingfei Su;Aifeng Zhang;Xuri Mou","10.3892/mmr.2017.8350"
"retracted_fuzzy","a decision-making framework university student sports study psychological healthy evaluation with 2-tuple linguistic numbers","2022","Xiaoping Yang;Wensheng Shi","10.1155/2022/2182207"
"retracted_fuzzy","the relationship between athletic achievement motivation, coping strategies pre-competition emotions of athletes aerobics","2011","Lihong Xie;Xiaowang Yin","10.1109/PACCS.2011.5990348"
"retracted_fuzzy","schlieren imaging for the visualization of particles entrapped in films","2020","Jeeyoon Kim;Seunghyeon Lee;Young Soo Joung","10.1016/j.jcis.2020.02.085"
"retracted_fuzzy","dynamics of electoral behavior of youth in the russian province under socio-economic instability","2016","Anatoly Valentinovich (Анатолий Валентинович) Mochalin (Мочалин)","Unavailable"
"retracted_fuzzy","hpv-16 expression and loss of cell in primary bladder tumors","2022","Lei Pang;Zijun Ding;Fei Li;Hongqiang Chai;Ming Wu;Jinkai Shao","10.1155/2022/6565620"
"retracted_fuzzy","giant traumatic hernia: a report of delayed presentation","2021","Abbas H Alsuwayj;Ali H Al Nasser;Abdulaziz M Al Dehailan;Abdullah Z Alburayman;Khalid A Alhuwaiji;Khurayzan F Binsifran;Ibrahim M Almulhim;Abdullah F Almulhim;Mohammed A Al Amer;Mohannad A Almulhim;Abdullatif Y Almulhim;Abdullah A Almulhim;Insaf A Alhazoom;Ahmed A Albakheet;Faisal Al-Hawaj","10.7759/cureus.20315"
"retracted_fuzzy","structural equation model analysis information systems in cooperative organizations: focusing the role of and information process mechanism","2018","Qi Yue;Xing Hua;Mei Quan","10.1007/s10257-018-0387-x"
"retracted_fuzzy","and issues of multisensory environment utilization in special needs education practice","2019","Ken Fujisawa;Fukuko Hayashi","10.9748/hcs.2019.806"
"retracted_fuzzy","inhaltsübersicht [table of contents]","2015","Graham Jefcoate","10.1515/9783110355062.toc"
"retracted_fuzzy","spatiotemporal variation of surface sediment quality in the sea area, china","2022","Shifeng Fu;Haiyan Wu;Hongzhe Chen;Xiaoqiong Cai;Xiang Pan;Yibiao Wu","10.1155/2022/4950588"
"retracted_fuzzy","medical image captioning using optimized deep model","2022","Arjun Singh;Jaya Krishna Raguru;Gaurav Prasad;Surbhi Chauhan;Pradeep Kumar Tiwari;Atef Zaguia;Mohammad Aman Ullah","10.1155/2022/9638438"
"retracted_fuzzy","norelgestromin/ethinyl estradiol transdermal system","2005","S Taneepanichskul","unavailable"
"retracted_fuzzy","the parenteral vitamin c improves sepsis and sepsis-induced multiple organ via preventing cellular immunosuppression","2017","Yu Lei Gao;Bin Lu;Jian Hua Zhai;Yan Cun Liu;Hai Xia Qi;Ying Yao;Yan Fen Chai;Song Tao Shou","10.1155/2017/4024672"
"retracted_fuzzy","research on pre-competition emotion recognition of student athletes on improved machine learning","2020","Chunfeng Guo","10.3233/JIFS-189047"
"retracted_fuzzy","targeting neural-restrictive silencer factor sensitizes tumor cells to antibody-based cancer immunotherapy in vitro mechanisms","2010","Martin V Kolev;Marieta M Ruseva;B Paul Morgan;Rossen M Donev","10.4049/jimmunol.1000045"
"retracted_fuzzy","training for staff in recognizing and responding to traumatic brain injury","2023","Huw Williams;Hope Kent","10.1080/02699052.2023.2194723"
"retracted_fuzzy","effect of potassium fertilizer on fluoride species soil ph in fluoride-contaminate soil","2011","Dong Chen;Wen Chen","10.1109/icbbe.2011.5781406"
"retracted_fuzzy","bluetooth sensor network communication","2009","You Ke;Liu Rui Qiang;Gao Run Quan","10.1109/IIS.2009.113"
"retracted_fuzzy","letter the editor: protective role of skeletal muscle mass against progression metabolically healthy to unhealthy phenotype","2018","Jean-Christophe Lagace;Dominic Tremblay;Jasmine Paquin;Alexis Marcotte-Chenard;Eleonor Riesco;Isabelle J Dionne","10.1210/jc.2018-02306"
"retracted_fuzzy","microrna‑454 inhibits the malignant behaviours of gastric cancer cells by directly targeting protein kinase 1","2017","Xiaodong Wang;Baichun Liu;Fuxing Wen;Ying Song","10.3892/or.2017.6171"
"retracted_fuzzy","bmp2-smad-mediated sh-sy5y neuroblastoma cell and neurite outgrowth are regulated through dynamin-dependent endocytosis","2014","Xiangshan Yang;Shunzeng Lv;Daotang Li;Wenyuan Lv;Kaixi Fan;Lijun Sheng;Ranran Shi;Jing Zhang;Man Feng;Zhongfa Xu","10.1007/s12035-014-8896-1"
"retracted_fuzzy","exopolysaccharide-producing bacterial cultures of bacillus cereus and aeruginosa in soil augment water retention maize growth","2024","Mohammad Naseem;Arshad Nawaz Chaudhry;Ghulam Jilani;Tajwar Alam;Farah Naz;Riaz Ullah;Muhammad Zahoor;Shah Zaman; Sohail","10.1016/j.heliyon.2024.e26104"
"retracted_fuzzy","optimization on the solubilization of thickened waste activated sludge using design method","2010","Yong-Zhi Chi;Min Ji;Yu-You Li;Xue-Ning Fei;Hong-Ying Yuan;Shao-Po Wang;Jian-Xing Li","10.1109/ESIAT.2010.5568569"
"retracted_fuzzy","artificial intelligence a bio-sensored detection of tuberculosis","2021","S Tamilselvi;N M Saravana Kumar;S Lavanya;J Bindhu;N Kaviyavarshini","10.1007/s13721-021-00284-9"
"retracted_fuzzy","molecular mechanisms of mcm3ap-as1 targeted the regulation mir-708-5p on cell proliferation and apoptosis gastric cancer cells","2020","H Wang;T Xu;L Wu;HL Xu;RM Liu","10.26355/eurrev_202003_20512"
"retracted_fuzzy","research on learning evaluation method of overseas chinese education the post-epidemic era","2022","Wenxia Jiang;Qingna Lin;Wei Qin","10.1145/3542926"
"retracted_fuzzy","a on connection of simulating public-private key pairs and scsi disks","2014","Liu Hailong","10.1109/WARTIA.2014.6976397"
"retracted_fuzzy","distribution of inhalable particulate and their effects on cardiopulmonary respiratory system outdoor football players in a smart healthcare system","2024","Zhongqin Liu;Zhiyun Tang;Chaoping Zhang","10.1007/s00500-023-09589-5"
"retracted_fuzzy","parametric study on a convective flow in a thermal storage using lattice flux solver","2022","Emad Hasani Malekshah;Hikmet S Aybar;Mohamed Bechir Ben Hamida;Raad Z Homod","10.1016/j.enganabound.2022.12.013"
"retracted_fuzzy","and analysis football players’ specific physical ability based on training evaluation index","2021","Yuanhua Li;Shishan Zeng","10.1155/2021/1446971"
"retracted_fuzzy","interdisciplinary management of an adult bilateral cleft lip and palate with excessive display - a case report","2019","Ashish Prasad;Om Prakash Kharbanda","10.5152/TurkJOrthod.2019.18054"
"retracted_fuzzy","modeling on long term land use change detection analysis of river basin, afghanistan by geospatial techniques","2020","Elyas Khairandish;Surendra Kumar Mishra;Anil Kumar Lohani","10.1007/s40808-020-00823-9"
"retracted_fuzzy","research the path of the tmt system integration","2011","Shide Zhao","10.1109/ICEBEG.2011.5882665"
"retracted_fuzzy","modeling, real-time estimation, and identification of uwb indoor channels","2013","Mohammed M Olama;Seddik M Djouadi;Yanyan Li;Aly Fathy","10.1155/2013/467670"
"retracted_fuzzy","a novel attention-based lightweight for multiscale object detection in underwater images","2022","Jinkang Wang;Xiaohui He;Faming Shao;Guanlin Lu;Qunyan Jiang;Ruizhe Hu;Jinxin Li","10.1155/2022/2582687"
"retracted_fuzzy","hs3st1 promotes non-small-cell lung progression by targeting the spop/fadd/nf-κb pathway","2022","Xianxiu Ji;Kebin Cheng;Caixia Gao;Huikang Xie;Ren Zhu;Jie Luo","10.1155/2022/5509346"
"retracted_fuzzy","global incidence and mortality of childhood leukemia and its the human development index","2024","Abdollah Mohammadian-Hafshejani;Irina M Farber;Soleiman Kheiri","10.1371/journal.pone.0304354"
"retracted_fuzzy","landscape creation of children’s outdoor activity space in urban areas based on psychology analysis","2022","Xueqian He;Jestin Nordin","10.1155/2022/9011311"
"retracted_fuzzy","a simple rhodamine-based signalling reversible molecular switch recognition al(iii) with promising applications for advanced logic operations – ‘or’, ‘keypad & ‘inhibit’ logic function and cell-imaging studies","2014","Ali Mahammad;Tarun Mistri;Rabiul Alam;Rahul Bhowmick;Sushil Kumar Mandal;Malay Dolai;Anisur Rahman Khuda-Bukhsh","10.1039/C3AN02255B"
"retracted_fuzzy","identification of prognosis biomarkers of prostatic cancer in a cohort 498 patients from","2019","Zhiqiang Chen;Haiyi Hu","10.1089/cmb.2019.0224"
"retracted_fuzzy","photocatalytic co2 transformation into fuel: review on advances in photocatalyst and photoreactor","2014","Sreejon Das;Wan Mohd Ashri Wan Daud","10.1016/j.rser.2014.07.046"
"retracted_fuzzy","effect of a mobile phone-assisted postpartum family service the of long-acting reversible contraception: a randomised controlled trial","2020","Omar M Shaaban;Treza Saber;Entisar Youness;Manal Farouk;Ahmed Mohamed Abbas","10.1080/13625187.2020.1764528"
"retracted_fuzzy","a survey jundishapur medical university students viewpoints in ahvaz considering the components in marketing process of libraries based on the principles of marketing mix (9p's model)","2018","Z Sabaghinejad;F Hosseinizadeh;F Azadeh;A Farajpahlou","10.4314/jfas.v10i6s.156"
"retracted_fuzzy","quercetin supports cell viability and inhibits in cardiocytes by down-regulating mir-199a","2019","Gongliang Guo;Licheng Gong;Liqun Sun;Haiming Xu","10.1080/21691401.2019.1640711"
"retracted_fuzzy","naturally soil salinity does not reduce n-transforming enzymes or organisms","2017","Heather L Dose;Thomas M DeSutter;Francis X M Casey;Robert Brueggeman","10.1139/cjss-2016-0089"
"retracted_fuzzy","a new neutrosophic negative distribution: properties and applications","2021","Rehan Ahmad Khan Sherwani;Sadia Iqbal;Shumaila Abbas;Muhammad Aslam;Ali Hussein AL Marshadi","10.1155/2021/2788265"
"retracted_fuzzy","incidence and disease course of ulcerative in western hungary between 2002 and 2006","2010","L Lakatos;G David;T Pandur;Z Erdelyi;G Mester;M Balogh;I Szipocs;C Molnar;E Komaromi;L S Kiss;P L Lakatos","10.1016/S1873-9946(10)00006-1"
"retracted_fuzzy","relationship political thought and political history (discussions in domestic state literature of the second half of the xix - beginning xx centuries)","2015","Evgeny Nikolaevich (Евгений Николаевич) Moschelkov (Мощелков)","Unavailable"
"retracted_fuzzy","‘negativicoccus massiliensis’, a new species identified from human stool from an obese after bariatric","2016","Ahmadou Hamidou Togo;Saber Khelaifia;René Valéro;Frederique Cadoret;Didier A Raoult;Matthieu Million","10.1016/j.nmni.2016.05.018"
"retracted_fuzzy","simulation coastal beach stability and coastal running based on embedded image system","2021","Ziyan Li","10.1007/s12517-021-07247-4"
"retracted_fuzzy","a rule for femoral nerve blocks","2005","Sebastian Schulz-Stübner;Angela Henszel;J Steven Hata","10.1016/j.rapm.2005.05.009"
"retracted_fuzzy","epistemic correspondence and the belief–assertion parallel","2018","Mona Simon","10.1093/analys/any048"
